label , error , time
float16 , 2.220446049250313e-16 , 7.894039154052735e-05
float32 , 2.220446049250313e-16 , 7.935365041097005e-05
float64 , 2.220446049250313e-16 , 7.489323616027832e-05
float128 , 1.084202172485504434e-19 , 8.728769090440538e-05
